Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Start,Finish,Elapsed time,ETsecs,RankAppld,TCFapplied,PHRF,IRC
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Wedgetail,0,2,1,1315,145535,0:40:35,2435,12,0.962,0.945,1.209
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Helter Skelter,0,2,1,1315,135904,0:44:04,2644,2,0.84,,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Blink,0,2,1,1315,140114,0:46:14,2774,20,0.938,0.96,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,The Guarantee,0,2,1,1315,140216,0:47:16,2836,14,0.856,0.84,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Testarossa,0,2,1,1315,140312,0:48:12,2892,5,0.79,0.772,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Airship,0,2,1,1315,140333,0:48:33,2913,1,0.734,0.753,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Gucci,0,2,1,1315,140553,0:50:53,3053,6,0.751,0.745,0.963
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Young Nicholson,0,2,1,1315,140616,0:51:16,3076,19,0.82,,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,CU,0,2,1,1315,140617,0:51:17,3077,15,0.79,,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Eat My Shorts,0,2,1,1315,140747,0:52:47,3167,11,0.739,0.74,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,After Midnight,0,2,1,1315,140855,0:53:55,3235,10,0.721,0.725,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Wiseguy,0,2,1,1315,141022,0:55:22,3322,7,0.691,0.725,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Prime Mover,0,2,1,1315,141044,0:55:44,3344,18,0.746,0.762,0.964
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Haumuri,0,2,1,1315,141311,0:58:11,3491,4,0.649,0.665,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Illusions,0,2,1,1315,141337,0:58:37,3517,9,0.657,0.67,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Titus Canby,0,2,1,1315,141405,0:59:05,3545,16,0.688,0.69,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Rosschild,0,2,1,1315,141642,1:01:42,3702,3,0.611,0.68,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Wai Aniwa,0,2,1,1315,141720,1:02:20,3740,17,0.66,0.69,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Charlie,0,2,1,1315,142042,1:05:42,3942,8,0.586,,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,White Cavalier,0,2,1,1315,142510,1:10:10,4210,13,0.561,0.65,
20/09/2014,Fleet,Special,Ambassador's trophy,Combined,Marishka,0,2,1,,,<no entry>,,,,,
27/09/2014,Championship,Spring,r1,1,Wedgetail,0,2,1,1315,152034,2:05:34,7534,1,0.954,0.945,1.209
27/09/2014,Championship,Spring,r1,1,Helter Skelter,0,2,1,1315,154902,2:34:02,9242,3,0.845,,
27/09/2014,Championship,Spring,r1,1,The Guarantee,0,2,1,1315,155134,2:36:34,9394,2,0.829,0.84,
27/09/2014,Championship,Spring,r1,1,Blink,0,2,1,,,<ocs>,,,,,
27/09/2014,Championship,Spring,r1,1,Revs,0,2,1,,,<dnf>,,,,,
27/09/2014,Championship,Spring,r1,2,Prime Mover,0,2,1,1320,1,2:13:03,7983,1,0.755,0.762,0.964
27/09/2014,Championship,Spring,r1,2,Testarossa,0,2,1,1320,1,2:14:04,8044,4,0.775,0.772,
27/09/2014,Championship,Spring,r1,2,Gucci,0,2,1,1320,1,2:19:48,8388,7,0.764,0.745,0.963
27/09/2014,Championship,Spring,r1,2,Eat My Shorts,0,2,1,1320,1,2:21:22,8482,2,0.726,0.74,
27/09/2014,Championship,Spring,r1,2,Whistler III,0,2,1,1320,1,2:21:48,8508,5,0.743,0.74,0.95
27/09/2014,Championship,Spring,r1,2,Montego Bay III,0,2,1,1320,1,2:27:00,8820,3,0.7,,
27/09/2014,Championship,Spring,r1,2,After Midnight,0,2,1,1320,1,2:28:59,8939,8,0.723,0.725,
