Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
20 Feb,PNR,PNR,r2,A,Satellite Spy,0,2,1,1:04:45,3885.0,3457.0,3562.0,1.0,1.0,-,0.885,1.0,,,0.885,0.89,-0.005,0.917,3.03,0.917,0.899
20 Feb,PNR,PNR,r2,A,Wedgetail,0,2,1,1:01:03,3663.0,3476.0,3562.0,2.0,2.0,-,0.945,2.0,1.209,2.0,0.9440000000000001,0.949,-0.005,0.972,2.42,0.972,0.957
20 Feb,PNR,PNR,r2,A,The Guarantee,0,2,1,1:09:16,4156.0,3491.0,3562.0,3.0,3.0,-,0.84,3.0,,,0.8370000000000001,0.84,-0.003,0.857,2.02,0.857,0.846
20 Feb,PNR,PNR,r2,A,St Laurence,0,2,1,0:57:41,3461.0,3505.0,3562.0,4.0,4.0,-,,,,,1.012,1.013,-0.001,1.029,1.58,1.029,1.019
20 Feb,PNR,PNR,r2,A,Black Diamond,0,2,1,1:13:11,4391.0,3552.0,3562.0,5.0,5.0,-,0.807,4.0,1.006,1.0,0.8059999999999999,0.809,-0.003,0.811,0.25,0.811,0.81
20 Feb,PNR,PNR,r2,A,Revs,0,2,1,1:06:52,4012.0,3562.0,3562.0,6.0,6.0,-,0.9,7.0,,,0.884,0.888,-0.004,0.888,0.0,0.888,0.888
20 Feb,PNR,PNR,r2,A,Magic Trick,0,2,1,1:08:12,4092.0,3617.0,3562.0,7.0,7.0,-,0.875,5.0,,,0.8809999999999999,0.884,-0.003,0.871,-1.47,0.871,0.88
20 Feb,PNR,PNR,r2,A,Blink,0,2,1,1:02:33,3753.0,3700.0,3562.0,8.0,8.0,-,0.96,6.0,1.3619999999999999,3.0,0.98,0.986,-0.006,0.949,-3.75,0.956,0.978
20 Feb,PNR,PNR,r2,A,Crusader,0,2,1,1:04:02,3842.0,3703.0,3562.0,9.0,9.0,-,0.951,8.0,,,0.965,0.964,0.001,0.927,-3.84,0.935,0.954
20 Feb,PNR,PNR,r2,A,Jive Talkin,0,2,1,1:11:37,4297.0,3704.0,3562.0,10.0,10.0,-,0.857,9.0,,,0.863,0.862,0.001,0.829,-3.83,0.836,0.853
20 Feb,PNR,PNR,r2,A,Helter Skelter,0,2,1,1:15:52,4552.0,3864.0,3562.0,11.0,11.0,-,0.855,10.0,,,0.8490000000000001,0.849,0.0,0.783,-7.77,0.824,0.841
20 Feb,PNR,PNR,r2,B,White Cavalier,0,2,1,1:43:39,6219.0,3445.0,3762.0,1.0,1.0,-,0.65,16.0,,,0.5539999999999999,0.554,-0.0,0.605,9.21,0.571,0.56
20 Feb,PNR,PNR,r2,B,Flying Machine,0,2,1,1:18:57,4737.0,3538.0,3762.0,2.0,2.0,-,0.762,2.0,0.941,1.0,0.741,0.747,-0.006,0.794,6.29,0.769,0.754
20 Feb,PNR,PNR,r2,B,Tracer,0,2,1,1:50:02,6602.0,3598.0,3762.0,4.0,3.0,No,0.595,11.0,,,0.542,0.545,-0.003,0.57,4.59,0.561,0.55
20 Feb,PNR,PNR,r2,B,Testarossa,0,2,1,1:19:29,4769.0,3605.0,3762.0,3.0,4.0,No,0.772,4.0,,,0.75,0.756,-0.006,0.789,4.37,0.779,0.763
20 Feb,PNR,PNR,r2,B,Wiseguy,0,2,1,1:27:47,5267.0,3686.0,3762.0,5.0,5.5,No,0.725,9.0,,,0.6940000000000001,0.7,-0.006,0.714,2.0,0.714,0.704
20 Feb,PNR,PNR,r2,B,Brix,0,2,1,1:30:30,5430.0,3686.0,3762.0,6.0,5.5,No,0.725,12.0,,,0.677,0.679,-0.002,0.693,2.06,0.693,0.683
