Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
27 Sep,Championship,Spring,r1,2,Whistler III,0,2,1,2:21:48,8508.0,6321.0,6321.0,5.0,5.0,-,0.74,5.0,0.95,3.0,0.743,0.743,0.0,0.743,0.0,0.743,0.743
27 Sep,Championship,Spring,r1,2,Wiseguy,0,2,1,2:32:54,9174.0,6366.0,6321.0,6.0,6.0,-,0.725,7.0,,,0.6940000000000001,0.694,0.0,0.689,-0.72,0.689,0.692
27 Sep,Championship,Spring,r1,2,Gucci,0,2,1,2:19:48,8388.0,6408.0,6321.0,7.0,7.0,-,0.745,3.0,0.963,2.0,0.764,0.764,0.0,0.754,-1.31,0.754,0.761
27 Sep,Championship,Spring,r1,2,After Midnight,0,2,1,2:28:59,8939.0,6462.0,6321.0,8.0,8.0,-,0.725,6.0,,,0.723,0.723,0.0,0.707,-2.21,0.707,0.718
27 Sep,Championship,Spring,r1,2,Floating Free,0,2,1,2:33:15,9195.0,6528.0,6321.0,9.0,9.0,-,,,,,0.71,0.71,0.0,0.687,-3.24,0.689,0.704
27 Sep,Championship,Spring,r1,3,White Cavalier,0,2,1,2:39:36,9576.0,5314.0,5628.0,1.0,1.0,-,0.65,4.0,,,0.555,0.555,0.0,0.588,5.95,0.572,0.56
27 Sep,Championship,Spring,r1,3,Saucy Sausage,0,2,1,2:24:55,8695.0,5451.0,5628.0,2.0,2.0,-,0.635,1.0,,,0.627,0.627,0.0,0.647,3.19,0.646,0.633
27 Sep,Championship,Spring,r1,3,Maranui,0,2,1,2:47:15,10035.0,5499.0,5628.0,3.0,3.0,-,,,,,0.5479999999999999,0.548,-0.0,0.561,2.37,0.561,0.552
27 Sep,Championship,Spring,r1,3,Titus Canby,0,2,1,2:18:34,8314.0,5628.0,5628.0,4.0,4.0,-,0.69,2.0,,,0.677,0.677,0.0,0.677,0.0,0.677,0.677
27 Sep,Championship,Spring,r1,3,Wai Aniwa,0,2,1,2:20:34,8434.0,5667.0,5628.0,5.0,5.0,-,0.69,3.0,,,0.672,0.672,0.0,0.667,-0.74,0.667,0.67
27 Sep,Championship,Spring,r1,3,Marishka,0,2,1,2:41:38,9698.0,5906.0,5628.0,6.0,6.0,-,0.65,5.0,,,0.609,0.609,0.0,0.58,-4.76,0.591,0.604
27 Sep,Championship,Spring,r1,3,Rosschild,0,2,1,2:37:52,9472.0,5986.0,5628.0,7.0,7.0,-,0.68,6.0,,,0.632,0.632,0.0,0.594,-6.01,0.613,0.626
27 Sep,Championship,Spring,r1,Open,Blink,0,2,1,<ocs>,,,,,0.0,,,,,,,,,,,,
27 Sep,Championship,Spring,r1,Open,Revs,0,2,1,<dnf>,,,,,0.0,,,,,,,,,,,,
27 Sep,Championship,Spring,r1,Open,Wedgetail,0,2,1,2:05:34,7534.0,7187.0,7635.0,1.0,1.0,-,0.945,1.0,1.209,1.0,0.9540000000000001,0.954,0.0,1.013,6.18,0.983,0.963
27 Sep,Championship,Spring,r1,Open,St Laurence,0,2,1,2:01:12,7272.0,7635.0,7635.0,2.0,2.0,-,,,,,1.05,1.05,0.0,1.05,0.0,1.05,1.05
27 Sep,Championship,Spring,r1,Open,The Guarantee,0,2,1,2:36:34,9394.0,7787.0,7635.0,3.0,3.0,-,0.84,2.0,,,0.8290000000000001,0.829,0.0,0.813,-1.93,0.813,0.824
27 Sep,Championship,Spring,r1,Open,Helter Skelter,0,2,1,2:34:02,9242.0,7809.0,7635.0,4.0,4.0,-,,,,,0.845,0.845,0.0,0.826,-2.25,0.826,0.839
4 Oct,Championship,Spring,r2,1,Structural Analysis,0,2,1,<no entry>,,,,,0.0,,,,,,,,,,,,
4 Oct,Championship,Spring,r2,1,Blink,0,2,1,1:43:18,6198.0,5788.0,5959.0,1.0,1.0,-,0.96,3.0,,,0.934,0.934,0.0,0.962,3.0,0.962,0.942
