,Date,Handicap,Boat name,newTCF,PHRF,IRC
112,20 Feb,PNR,Crusader,0.947,0.951,
113,22 Feb,PNR,Flying Machine,0.761,0.762,0.941
114,22 Feb,PNR,Gucci,0.755,0.745,0.963
115,22 Feb,PNR,Haumuri,0.613,0.662,
116,22 Feb,PNR,Helter Skelter,0.846,0.855,
117,22 Feb,PNR,Illusions,0.648,0.675,0.9179999999999999
118,22 Feb,PNR,Incantare,0.688,0.725,
119,22 Feb,PNR,Jive Talkin,0.85,0.857,
120,22 Feb,PNR,Magic Trick,0.859,0.875,
121,22 Feb,PNR,Prime Mover,0.726,0.762,0.9640000000000001
122,22 Feb,PNR,Revs,0.901,0.9,
123,22 Feb,PNR,Satellite Spy,0.904,0.885,
124,22 Feb,PNR,St Laurence,1.016,,
125,22 Feb,PNR,Stepping Stone,0.741,0.755,
126,22 Feb,PNR,Synfinity,0.681,0.72,
127,22 Feb,PNR,Testarossa,0.759,0.772,
128,22 Feb,PNR,The Guarantee,0.838,0.84,
129,22 Feb,PNR,Titus Canby,0.682,0.69,
130,22 Feb,PNR,Tracer,0.56,0.595,
131,22 Feb,PNR,Wedgetail,0.954,0.945,5.0
132,22 Feb,PNR,Whistler III,0.725,0.737,0.95
133,22 Feb,PNR,White Cavalier,0.588,0.65,
134,22 Feb,PNR,Wiseguy,0.692,0.725,
135,22 Feb,PNR_asPublished,After Midnight,0.721,0.725,
136,22 Feb,PNR_asPublished,Airship,0.782,0.753,
137,22 Feb,PNR_asPublished,Black Diamond,0.818,0.807,1.006
138,22 Feb,PNR_asPublished,Blink,0.967,0.96,1.3619999999999999
139,22 Feb,PNR_asPublished,Brix,0.682,0.725,
140,21 Feb,PNR_asPublished,CU,0.709,0.76,
141,20 Feb,PNR_asPublished,Crusader,0.947,0.951,
142,22 Feb,PNR_asPublished,Flying Machine,0.761,0.762,0.941
143,22 Feb,PNR_asPublished,Gucci,0.755,0.745,0.963
144,22 Feb,PNR_asPublished,Haumuri,0.613,0.662,
145,22 Feb,PNR_asPublished,Helter Skelter,0.846,0.855,
146,22 Feb,PNR_asPublished,Illusions,0.648,0.675,0.9179999999999999
147,22 Feb,PNR_asPublished,Incantare,0.688,0.725,
148,22 Feb,PNR_asPublished,Jive Talkin,0.85,0.857,
149,22 Feb,PNR_asPublished,Magic Trick,0.859,0.875,
150,22 Feb,PNR_asPublished,Prime Mover,0.726,0.762,0.9640000000000001
151,22 Feb,PNR_asPublished,Revs,0.901,0.9,
152,22 Feb,PNR_asPublished,Satellite Spy,0.904,0.885,
153,22 Feb,PNR_asPublished,St Laurence,1.016,,
154,22 Feb,PNR_asPublished,Stepping Stone,0.741,0.755,
155,22 Feb,PNR_asPublished,Synfinity,0.681,0.72,
156,22 Feb,PNR_asPublished,Testarossa,0.759,0.772,
157,22 Feb,PNR_asPublished,The Guarantee,0.838,0.84,
158,22 Feb,PNR_asPublished,Titus Canby,0.682,0.69,
159,22 Feb,PNR_asPublished,Tracer,0.56,0.595,
160,22 Feb,PNR_asPublished,Wedgetail,0.954,0.945,5.0
161,22 Feb,PNR_asPublished,Whistler III,0.725,0.737,0.95
162,22 Feb,PNR_asPublished,White Cavalier,0.588,0.65,
163,22 Feb,PNR_asPublished,Wiseguy,0.692,0.725,
164,27 Mar,Rum,After Midnight,0.705,,
165,27 Mar,Rum,Blink,0.941,,
166,27 Mar,Rum,Brix,0.705,,
167,20 Mar,Rum,CU,0.777,,
168,27 Mar,Rum,Charlie,0.595,,
169,20 Mar,Rum,Eat My Shorts,0.749,,
170,14 Nov,Rum,Gucci,0.742,,
171,14 Nov,Rum,Haumuri,0.656,,
172,27 Mar,Rum,Ibis,0.67,,
173,20 Mar,Rum,Illusions,0.676,,
174,31 Oct,Rum,Incantare,0.699,,
175,27 Mar,Rum,Montego Bay III,0.719,,
176,27 Mar,Rum,Port Nic 1,0.677,,
177,27 Mar,Rum,Port Nic 2,0.687,,
178,27 Mar,Rum,Rosschild,0.625,,
179,7 Nov,Rum,Saffron,0.689,,
180,16 Jan,Rum,Tarun,0.579,,
181,27 Mar,Rum,Tortimony,0.6,,
182,30 Jan,Rum,Tracer,0.575,,
183,7 Nov,Rum,Wai Aniwa,0.653,,
184,5 Dec,Rum,Whistler III,0.747,,
185,27 Mar,Rum,White Cavalier,0.586,,
186,30 Jan,Rum,Wiseguy,0.703,,
187,20 Mar,Rum,XTSea,0.78,,
188,24 Jan,Two-handed,After Midnight,0.727,0.715,
189,24 Jan,Two-handed,Blink,0.964,1.01,
190,25 Oct,Two-handed,Floating Free,0.716,,
191,25 Oct,Two-handed,Montego Bay III,0.727,,
192,25 Oct,Two-handed,Nedax Racing,0.832,,
193,25 Oct,Two-handed,Saucy Sausage,0.632,0.645,
194,24 Jan,Two-handed,Titus Canby,0.684,0.69,
195,25 Oct,Two-handed,Wai Aniwa,0.685,0.69,
196,24 Jan,Two-handed,White Cavalier,0.579,0.65,
