Date,Handicap,Series,Race,Div,Boat name,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,IRC,TCFapplied,newTCF,TCFdiff,TCFst,pctMvmt,TCFclmp,oldTCF
25-Apr,Fleet,Special,Anzac,Combined,Illusions,2:49:33,10173,6775,6775,3,2,No,0.655,,0.676,0.666,0.01,0.666,0,0.666,0.671
25-Apr,Fleet,Special,Anzac,Combined,Wai-Aniwa,2:53:01,10381,6851,6775,2,3,No,0.69,,0.66,0.66,0,0.653,-1.06,0.653,0.66
26-Apr,Classics,Classics,r6,Combined,Lizzie,2:11:46,7906,3162,3456,1,1,-,,,0.4,0.4,0,0.437,9.25,0.412,0.4
26-Apr,Classics,Classics,r6,Combined,Loloma,1:57:34,7054,3456,3456,2,2,-,,,0.49,0.49,0,0.49,0,0.49,0.49
26-Apr,Classics,Classics,r6,Combined,Oreti,2:00:15,7215,3607,3456,3,3,-,,,0.5,0.5,0,0.479,-4.2,0.485,0.5
26-Apr,Classics,Classics,r6,Combined,Waiata II,2:23:32,8612,3840,3456,4,4,-,,,0.446,0.446,0,0.401,-10.09,0.433,0.446
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Incantare,1:19:07,4747,3237,3566,1,1,-,0.725,,0.693,0.682,0.011,0.751,10.12,0.702,0.694
26-Apr,Fleet,Special,Commodore's Trophy,Combined,After Midnight,1:18:20,4700,3280,3566,2,2,-,0.72,,0.707,0.698,0.009,0.759,8.74,0.719,0.708
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Saucy Sausage,1:30:04,5404,3372,3566,3,3,-,0.63,,0.625,0.624,0.001,0.66,5.77,0.643,0.625
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Marishka,1:33:57,5637,3421,3566,5,4,No,0.65,,0.619,0.607,0.012,0.633,4.28,0.625,0.616
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Maranui,1:46:31,6391,3463,3566,6,5,No,,,0.547,0.542,0.005,0.558,2.95,0.558,0.547
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Rocket Science,1:12:44,4364,3495,3566,9,6,No,0.82,,0.807,0.801,0.006,0.817,2,0.817,0.807
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Wai-Aniwa,1:28:22,5302,3499,3566,7,7,-,0.69,,0.66,0.66,0,0.673,1.97,0.673,0.66
26-Apr,Fleet,Special,Commodore's Trophy,Combined,White Cavalier,1:42:58,6178,3502,3566,4,8,No,0.65,,0.551,0.567,-0.016,0.577,1.76,0.577,0.551
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Revs,1:05:34,3934,3516,3566,8,9,No,0.89,1.234,0.894,0.894,0,0.907,1.45,0.907,0.894
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Blink,1:02:56,3776,3530,3566,11,10,No,0.96,,0.944,0.935,0.009,0.945,1.07,0.945,0.944
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Montego Bay III,1:22:20,4940,3532,3566,10,11,No,0.745,,0.715,0.715,0,0.722,0.98,0.722,0.715
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Wellington Spirit Purple,1:16:12,4572,3566,3566,12,12,-,0.79,,0.78,0.78,0,0.78,0,0.78,0.78
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Blue Magic,1:21:28,4888,3573,3566,13,13,-,0.74,0.955,0.736,0.731,0.005,0.73,-0.14,0.73,0.732
26-Apr,Fleet,Special,Commodore's Trophy,Combined,The Guarantee,1:11:20,4280,3590,3566,15,14,No,0.845,,0.852,0.839,0.013,0.833,-0.72,0.833,0.845
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Wedgetail,1:02:47,3767,3597,3566,14,15,No,0.95,1.208,0.955,0.955,0,0.947,-0.84,0.947,0.955
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Structural Analysis,1:19:23,4763,3653,3566,18,16,No,,,0.772,0.767,0.005,0.749,-2.35,0.749,0.772
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Rosschild,1:37:19,5839,3661,3566,17,17,-,0.68,,0.628,0.627,0.001,0.611,-2.55,0.611,0.628
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Wiseguy,1:27:25,5245,3671,3566,16,18,No,0.725,,0.697,0.7,-0.003,0.68,-2.86,0.68,0.697
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Illusions,1:32:17,5537,3687,3566,19,19,-,0.655,,0.676,0.666,0.01,0.644,-3.3,0.646,0.671
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Prime Mover,1:24:10,5050,3762,3566,20,20,-,0.765,0.964,0.754,0.745,0.009,0.706,-5.23,0.723,0.752
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Wellington Spirit Bronze,1:23:10,4990,3787,3566,21,21,-,0.79,,0.78,0.759,0.021,0.715,-5.8,0.736,0.752
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Wellington Spirit Red,1:23:26,5006,3834,3566,22,22,-,0.79,,0.78,0.766,0.014,0.712,-7.05,0.743,0.764
26-Apr,Fleet,Special,Commodore's Trophy,Combined,Eat My Shorts,1:29:22,5362,3957,3566,23,23,-,0.745,,0.742,0.738,0.004,0.665,-9.89,0.716,0.742
26-Apr,Fleet,Special,Commodore's Trophy,Combined,St Laurence,1:12:37,4357,4518,3566,24,24,-,,,1.043,1.037,0.006,0.818,-21.12,1.006,1.045
26-Apr,Fleet,Special,Veterans,Combined,After Midnight,1:18:20,4700,3318,3426,1,1,-,0.72,,0.707,0.706,0.001,0.729,3.26,0.727,0.712
26-Apr,Fleet,Special,Veterans,Combined,Saucy Sausage,1:30:04,5404,3426,3426,2,2,-,0.63,,0.625,0.634,-0.009,0.634,0,0.634,0.629
26-Apr,Fleet,Special,Veterans,Combined,Wai-Aniwa,1:28:22,5302,3536,3426,3,3,-,0.69,,0.66,0.667,-0.007,0.646,-3.15,0.647,0.663
26-Apr,Fleet,Special,Veterans,Combined,Montego Bay III,1:22:20,4940,3546,3426,4,4,-,0.745,,0.715,0.718,-0.003,0.694,-3.34,0.696,0.717
