Date,Handicap,Series,Race,Div,Boat name,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,IRC,TCFapplied,newTCF,TCFdiff,TCFst,pctMvmt,TCFclmp,oldTCF
22-Mar,Two-handed,Two-handed,r3,Combined,Testarossa,<dns>,,,,,,,,,,,,,,,
22-Mar,Two-handed,Two-handed,r3,Combined,Titus Canby,<dns>,,,,,,,,,,,,,,,
22-Mar,Two-handed,Two-handed,r3,Combined,White Cavalier,<dns>,,,,,,,,,,,,,,,
22-Mar,Two-handed,Two-handed,r3,Combined,After Midnight,1:40:06,6006,4246,4553,1,1,-,0.72,,0.713,0.707,0.006,0.758,7.21,0.728,0.713
22-Mar,Two-handed,Two-handed,r3,Combined,Whistler III,1:44:24,6264,4553,4553,2,2,-,0.73,,0.727,0.727,0,0.727,0,0.727,0.727
22-Mar,Two-handed,Two-handed,r3,Combined,Eat My Shorts,1:44:33,6273,4667,4553,3,3,-,0.74,,0.737,0.744,-0.007,0.726,-2.42,0.726,0.737
26-Mar,Fleet,Twilight 2,r3,Combined,Port Nic 2,<no entry>,,,,,,,,,,,,,,,
26-Mar,Fleet,Twilight 2,r3,Combined,Structural Analysis,0:28:04,1684,1279,1388,1,1,-,,,0.768,0.76,0.008,0.825,8.55,0.783,0.768
26-Mar,Fleet,Twilight 2,r3,Combined,Black Diamond,0:28:37,1717,1340,1388,3,2,No,0.795,1.008,0.787,0.781,0.006,0.809,3.59,0.804,0.787
26-Mar,Fleet,Twilight 2,r3,Combined,White Cavalier,0:40:32,2432,1364,1388,2,3,No,0.65,,0.544,0.561,-0.017,0.571,1.78,0.571,0.544
26-Mar,Fleet,Twilight 2,r3,Combined,Brix,0:33:00,1980,1372,1388,4,4,-,0.735,,0.701,0.693,0.008,0.701,1.15,0.701,0.702
26-Mar,Fleet,Twilight 2,r3,Combined,Airship,0:31:40,1900,1388,1388,5,5,-,0.74,,0.734,0.731,0.003,0.731,0,0.731,0.734
26-Mar,Fleet,Twilight 2,r3,Combined,Gucci,0:31:20,1880,1404,1388,6,6,-,0.755,0.963,0.749,0.747,0.002,0.738,-1.2,0.738,0.746
26-Mar,Fleet,Twilight 2,r3,Combined,After Midnight,0:34:23,2063,1458,1388,7,7,-,0.72,,0.714,0.707,0.007,0.673,-4.81,0.686,0.714
26-Mar,Fleet,Twilight 2,r3,Combined,Whistler III,0:33:38,2018,1479,1388,8,8,-,0.73,0.95,0.738,0.733,0.005,0.688,-6.14,0.711,0.739
26-Mar,Fleet,Twilight 2,r3,Combined,Eat My Shorts,0:34:40,2080,1555,1388,9,9,-,0.745,,0.743,0.748,-0.005,0.668,-10.7,0.726,0.743
29-Mar,Championship,Autumn,r2,1,Rocket Science,<dnf>,,,,,,,,,,,,,,,
29-Mar,Championship,Autumn,r2,1,Ran Tan II,<dnf>,,,,,,,,,,,,,,,
29-Mar,Championship,Autumn,r2,1,Revs,2:42:06,9726,8597,8597,1,1,-,0.89,,0.905,0.884,0.021,0.884,0,0.884,0.906
29-Mar,Championship,Autumn,r2,2,Airship,<dnf>,,,,,,,,,,,,,,,
29-Mar,Championship,Autumn,r2,2,Blue Magic,3:00:04,10804,7800,7949,1,1,-,0.74,0.955,0.723,0.722,0.001,0.736,1.94,0.736,0.723
29-Mar,Championship,Autumn,r2,2,Gucci,2:54:51,10491,7847,7949,4,2,No,0.755,0.963,0.761,0.748,0.013,0.758,1.34,0.758,0.759
29-Mar,Championship,Autumn,r2,2,Whistler III,2:56:42,10602,7856,7949,3,3,-,0.73,0.95,0.748,0.741,0.007,0.75,1.21,0.75,0.747
29-Mar,Championship,Autumn,r2,2,Prime Mover,2:56:54,10614,7949,7949,2,4,No,0.765,0.964,0.747,0.749,-0.002,0.749,0,0.749,0.746
29-Mar,Championship,Autumn,r2,2,Testarossa,2:51:55,10315,8169,7949,5,5,-,0.765,,0.783,0.792,-0.009,0.771,-2.65,0.771,0.782
29-Mar,Championship,Autumn,r2,2,After Midnight,3:09:39,11379,8397,7949,7,6,No,0.72,,0.734,0.738,-0.004,0.699,-5.28,0.716,0.732
29-Mar,Championship,Autumn,r2,2,Wellington Spirit Red,3:07:52,11272,8420,7949,6,7,No,0.79,,0.74,0.747,-0.007,0.705,-5.62,0.725,0.741
29-Mar,Championship,Autumn,r2,3,Saucy Sausage,2:31:00,9060,5644,5746,1,1,-,0.63,,0.624,0.623,0.001,0.634,1.77,0.634,0.624
29-Mar,Championship,Autumn,r2,3,Marishka,2:34:58,9298,5746,5746,2,2,-,0.65,,0.618,0.618,0,0.618,0,0.618,0.618
29-Mar,Championship,Autumn,r2,3,Titus Canby,2:24:10,8650,5778,5746,3,3,-,0.69,,0.675,0.668,0.007,0.664,-0.6,0.664,0.676
29-Mar,Championship,Autumn,r2,3,Wai-Aniwa,2:32:05,9125,6177,5746,4,4,-,0.69,,0.685,0.677,0.008,0.63,-6.94,0.657,0.685
5-Apr,Championship,Autumn,r3,1,The Guarantee,0:30:50,1850,1480,1583,1,1,-,0.845,,0.809,0.8,0.009,0.856,7,0.824,0.809
